freq (Hz),leafValue( getData("out" ?result "noise") "Q0.m" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 8 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 16 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 32 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 64 ) (A / sqrt(Hz))
60.2560,64.3436E-12,90.7678E-12,127.726E-12,178.851E-12,248.048E-12,337.769E-12,444.757E-12
61.6595,63.7087E-12,89.8728E-12,126.468E-12,177.096E-12,245.630E-12,334.519E-12,440.589E-12
63.0957,63.0834E-12,88.9915E-12,125.230E-12,175.368E-12,243.249E-12,331.319E-12,436.488E-12
64.5654,62.4678E-12,88.1238E-12,124.011E-12,173.666E-12,240.904E-12,328.170E-12,432.451E-12
66.0693,61.8617E-12,87.2695E-12,122.811E-12,171.991E-12,238.597E-12,325.069E-12,428.479E-12
67.6083,61.2650E-12,86.4284E-12,121.629E-12,170.342E-12,236.325E-12,322.018E-12,424.570E-12
69.1831,60.6775E-12,85.6004E-12,120.466E-12,168.719E-12,234.089E-12,319.014E-12,420.724E-12
70.7946,60.0992E-12,84.7853E-12,119.321E-12,167.121E-12,231.888E-12,316.058E-12,416.940E-12
72.4436,59.5300E-12,83.9829E-12,118.194E-12,165.548E-12,229.722E-12,313.150E-12,413.217E-12
74.1310,58.9697E-12,83.1932E-12,117.085E-12,164.000E-12,227.590E-12,310.288E-12,409.555E-12
75.8578,58.4182E-12,82.4160E-12,115.993E-12,162.477E-12,225.492E-12,307.471E-12,405.953E-12
77.6247,57.8755E-12,81.6511E-12,114.919E-12,160.978E-12,223.428E-12,304.700E-12,402.409E-12
79.4328,57.3414E-12,80.8983E-12,113.861E-12,159.503E-12,221.397E-12,301.974E-12,398.924E-12
81.2831,56.8158E-12,80.1576E-12,112.821E-12,158.051E-12,219.398E-12,299.293E-12,395.497E-12
83.1764,56.2987E-12,79.4287E-12,111.797E-12,156.623E-12,217.432E-12,296.655E-12,392.126E-12
85.1138,55.7899E-12,78.7116E-12,110.790E-12,155.217E-12,215.497E-12,294.060E-12,388.812E-12
87.0964,55.2892E-12,78.0061E-12,109.799E-12,153.835E-12,213.594E-12,291.508E-12,385.553E-12
89.1251,54.7967E-12,77.3120E-12,108.824E-12,152.475E-12,211.723E-12,288.998E-12,382.349E-12
91.2011,54.3123E-12,76.6292E-12,107.865E-12,151.137E-12,209.882E-12,286.529E-12,379.199E-12
93.3254,53.8357E-12,75.9576E-12,106.922E-12,149.822E-12,208.071E-12,284.102E-12,376.102E-12
95.4993,53.3670E-12,75.2970E-12,105.994E-12,148.528E-12,206.290E-12,281.715E-12,373.058E-12
97.7237,52.9060E-12,74.6473E-12,105.082E-12,147.255E-12,204.539E-12,279.368E-12,370.066E-12
100.000,52.4526E-12,74.0083E-12,104.184E-12,146.004E-12,202.818E-12,277.061E-12,367.125E-12
102.329,52.0067E-12,73.3800E-12,103.302E-12,144.773E-12,201.125E-12,274.793E-12,364.236E-12
104.713,51.5683E-12,72.7622E-12,102.434E-12,143.563E-12,199.460E-12,272.563E-12,361.396E-12
107.152,51.1373E-12,72.1547E-12,101.581E-12,142.374E-12,197.824E-12,270.372E-12,358.605E-12
109.648,50.7134E-12,71.5575E-12,100.743E-12,141.204E-12,196.215E-12,268.218E-12,355.863E-12
112.202,50.2968E-12,70.9704E-12,99.9180E-12,140.054E-12,194.634E-12,266.101E-12,353.170E-12
114.815,49.8872E-12,70.3932E-12,99.1076E-12,138.924E-12,193.080E-12,264.021E-12,350.523E-12
117.490,49.4846E-12,69.8259E-12,98.3110E-12,137.814E-12,191.553E-12,261.977E-12,347.924E-12
120.226,49.0889E-12,69.2683E-12,97.5280E-12,136.722E-12,190.052E-12,259.968E-12,345.371E-12
123.027,48.7000E-12,68.7202E-12,96.7585E-12,135.649E-12,188.577E-12,257.995E-12,342.863E-12
125.893,48.3178E-12,68.1817E-12,96.0024E-12,134.595E-12,187.128E-12,256.056E-12,340.400E-12
128.825,47.9423E-12,67.6525E-12,95.2593E-12,133.559E-12,185.704E-12,254.152E-12,337.982E-12
131.826,47.5732E-12,67.1325E-12,94.5293E-12,132.542E-12,184.306E-12,252.282E-12,335.607E-12
134.896,47.2106E-12,66.6216E-12,93.8120E-12,131.542E-12,182.932E-12,250.444E-12,333.275E-12
138.038,46.8544E-12,66.1197E-12,93.1073E-12,130.560E-12,181.582E-12,248.640E-12,330.986E-12
141.254,46.5045E-12,65.6266E-12,92.4151E-12,129.595E-12,180.256E-12,246.868E-12,328.739E-12
